question_id,topic,question_text,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,answer,question_type,nb_choices,nb_comments,url,page,explanation
45,1,You are building a new data pipeline to share data between two different types of applications: jobs generators and job runners. Your solution must scale to accommodate increases in usage and must accommodate the addition of new applications without negatively affecting the performance of existing ones. What should you do?,Create an API using App Engine to receive and send messages to the applications,"Use a Cloud Pub/Sub topic to publish jobs, and use subscriptions to execute them","Create a table on Cloud SQL, and insert and delete rows with the job information","Create a table on Cloud Spanner, and insert and delete rows with the job information",,,B,single,4,10,https://www.examtopics.com/discussions/google/view/79676-exam-professional-data-engineer-topic-1-question-139/,9,"The correct answer is B. Use a Cloud Pub/Sub topic to publish jobs, and use subscriptions to execute them. Cloud Pub/Sub is a fully managed messaging service that is designed to scale automatically, making it ideal for accommodating increases in usage and the addition of new applications without impacting performance. It allows for asynchronous communication between job generators and job runners, ensuring that messages (jobs) are reliably delivered and processed. This decouples the producers and consumers, enabling each to scale independently. In contrast, options C and D, which involve using Cloud SQL or Cloud Spanner, would require more complex management and scaling efforts, and option A, using an API on App Engine, may not inherently provide the same level of scalability and decoupling as Cloud Pub/Sub."
46,1,You want to use a database of information about tissue samples to classify future tissue samples as either normal or mutated. You are evaluating an unsupervised anomaly detection method for classifying the tissue samples. Which two characteristic support this method? (Choose two.),There are very few occurrences of mutations relative to normal samples.,There are roughly equal occurrences of both normal and mutated samples in the database.,You expect future mutations to have different features from the mutated samples in the database.,You expect future mutations to have similar features to the mutated samples in the database.,You already have labels for which samples are mutated and which are normal in the database.,,A|C,multiple,5,94,https://www.examtopics.com/discussions/google/view/16281-exam-professional-data-engineer-topic-1-question-14/,10,"Unsupervised anomaly detection methods are well-suited for scenarios where anomalies (mutations, in this case) are rare compared to normal instances, as stated in choice A. This is because these methods typically model the normal data distribution and identify deviations from this norm as anomalies. Choice C supports the use of unsupervised methods because they do not rely on specific labels or known features of anomalies; instead, they detect any data points that significantly differ from the normal pattern, making them suitable for identifying future mutations that may have different features from those currently in the database. In contrast, choices B, D, and E suggest scenarios where supervised learning might be more appropriate, as they imply a balanced dataset or the availability of labeled data, which are not ideal conditions for unsupervised anomaly detection."
47,1,"You need to create a new transaction table in Cloud Spanner that stores product sales data. You are deciding what to use as a primary key. From a performance perspective, which strategy should you choose?",The current epoch time,A concatenation of the product name and the current epoch time,A random universally unique identifier number (version 4 UUID),"The original order identification number from the sales system, which is a monotonically increasing integer",,,C,single,4,9,https://www.examtopics.com/discussions/google/view/80270-exam-professional-data-engineer-topic-1-question-140/,10,"Choosing a random universally unique identifier (version 4 UUID) as the primary key (Choice C) is optimal for performance in Cloud Spanner because it helps distribute data evenly across nodes, reducing hotspots and ensuring balanced load distribution. Unlike a monotonically increasing integer (Choice D) or the current epoch time (Choice A), which can lead to write hotspots as new entries are concentrated on a single node, a UUID provides a more uniform distribution. While a concatenation of the product name and epoch time (Choice B) might offer some distribution, it still risks creating hotspots if certain products are sold more frequently. Therefore, a version 4 UUID is preferred for its ability to maintain consistent performance across the database."
48,1,Data Analysts in your company have the Cloud IAM Owner role assigned to them in their projects to allow them to work with multiple GCP products in their projects. Your organization requires that all BigQuery data access logs be retained for 6 months. You need to ensure that only audit personnel in your company can access the data access logs for all projects. What should you do?,Enable data access logs in each Data Analyst's project. Restrict access to Stackdriver Logging via Cloud IAM roles.,Export the data access logs via a project-level export sink to a Cloud Storage bucket in the Data Analysts' projects. Restrict access to the Cloud Storage bucket.,Export the data access logs via a project-level export sink to a Cloud Storage bucket in a newly created projects for audit logs. Restrict access to the project with the exported logs.,Export the data access logs via an aggregated export sink to a Cloud Storage bucket in a newly created project for audit logs. Restrict access to the project that contains the exported logs.,,,D,single,4,14,https://www.examtopics.com/discussions/google/view/17225-exam-professional-data-engineer-topic-1-question-141/,10,"The correct answer is D because using an aggregated export sink allows you to collect and export logs from multiple projects into a single location, which is efficient for managing and securing audit logs across your organization. By exporting the data access logs to a Cloud Storage bucket in a newly created project specifically for audit logs, you can centralize and control access to these logs, ensuring that only authorized audit personnel have access. This approach also simplifies the management of log retention policies, such as retaining logs for 6 months. In contrast, options A and B do not centralize log management, and option C only provides project-level export, which is less efficient for organization-wide log management."
49,1,"Each analytics team in your organization is running BigQuery jobs in their own projects. You want to enable each team to monitor slot usage within their projects.
What should you do?",Create a Cloud Monitoring dashboard based on the BigQuery metric query/scanned_bytes,Create a Cloud Monitoring dashboard based on the BigQuery metric slots/allocated_for_project,"Create a log export for each project, capture the BigQuery job execution logs, create a custom metric based on the totalSlotMs, and create a Cloud Monitoring dashboard based on the custom metric","Create an aggregated log export at the organization level, capture the BigQuery job execution logs, create a custom metric based on the totalSlotMs, and create a Cloud Monitoring dashboard based on the custom metric",,,B,single,4,11,https://www.examtopics.com/discussions/google/view/81914-exam-professional-data-engineer-topic-1-question-142/,10,"The correct answer is B. Create a Cloud Monitoring dashboard based on the BigQuery metric slots/allocated_for_project. This metric specifically tracks the number of slots allocated to a project, which directly relates to monitoring slot usage for BigQuery jobs. Option A, which involves the metric query/scanned_bytes, is not suitable as it measures the amount of data processed rather than slot usage. Options C and D involve creating custom metrics from log exports, which is a more complex and indirect approach compared to using the readily available slots/allocated_for_project metric. Therefore, option B is the most straightforward and efficient method to monitor slot usage for each team's project."
50,1,You are operating a streaming Cloud Dataflow pipeline. Your engineers have a new version of the pipeline with a different windowing algorithm and triggering strategy. You want to update the running pipeline with the new version. You want to ensure that no data is lost during the update. What should you do?,Update the Cloud Dataflow pipeline inflight by passing the --update option with the --jobName set to the existing job name,Update the Cloud Dataflow pipeline inflight by passing the --update option with the --jobName set to a new unique job name,Stop the Cloud Dataflow pipeline with the Cancel option. Create a new Cloud Dataflow job with the updated code,Stop the Cloud Dataflow pipeline with the Drain option. Create a new Cloud Dataflow job with the updated code,,,D,single,4,26,https://www.examtopics.com/discussions/google/view/79678-exam-professional-data-engineer-topic-1-question-143/,10,"The correct answer is D. Stop the Cloud Dataflow pipeline with the Drain option. Create a new Cloud Dataflow job with the updated code. Draining a pipeline ensures that all in-flight data is processed and no data is lost, as it allows the pipeline to finish processing all existing data before stopping. This is crucial when updating a pipeline with significant changes, such as a new windowing algorithm and triggering strategy, which might not be compatible with the existing state of the pipeline. Option A and B, which involve updating the pipeline in-flight, could lead to data loss or inconsistencies due to the changes in windowing and triggering. Option C, which involves canceling the pipeline, would result in immediate termination and potential data loss."
51,1,"You need to move 2 PB of historical data from an on-premises storage appliance to Cloud Storage within six months, and your outbound network capacity is constrained to 20 Mb/sec. How should you migrate this data to Cloud Storage?",Use Transfer Appliance to copy the data to Cloud Storage,"Use gsutil cp ג€""J to compress the content being uploaded to Cloud Storage","Create a private URL for the historical data, and then use Storage Transfer Service to copy the data to Cloud Storage",Use trickle or ionice along with gsutil cp to limit the amount of bandwidth gsutil utilizes to less than 20 Mb/sec so it does not interfere with the production traffic,,,A,single,4,14,https://www.examtopics.com/discussions/google/view/17228-exam-professional-data-engineer-topic-1-question-144/,11,"The correct answer is A. Use Transfer Appliance to copy the data to Cloud Storage. This option is suitable because Transfer Appliance is a physical device provided by Google Cloud that allows for the secure and efficient transfer of large volumes of data, such as 2 PB, from on-premises environments to Google Cloud Storage. Given the constraint of a 20 Mb/sec outbound network capacity, transferring such a large amount of data over the network would be impractical and time-consuming. Options B, C, and D involve network-based transfers, which would not be feasible within the six-month timeframe due to the limited bandwidth. Transfer Appliance bypasses these network constraints by physically shipping the data, ensuring a timely and efficient migration."
52,1,"You receive data files in CSV format monthly from a third party. You need to cleanse this data, but every third month the schema of the files changes. Your requirements for implementing these transformations include:
✑ Executing the transformations on a schedule
✑ Enabling non-developer analysts to modify transformations
✑ Providing a graphical tool for designing transformations
What should you do?","Use Dataprep by Trifacta to build and maintain the transformation recipes, and execute them on a scheduled basis","Load each month's CSV data into BigQuery, and write a SQL query to transform the data to a standard schema. Merge the transformed tables together with a SQL query",Help the analysts write a Dataflow pipeline in Python to perform the transformation. The Python code should be stored in a revision control system and modified as the incoming data's schema changes,Use Apache Spark on Dataproc to infer the schema of the CSV file before creating a Dataframe. Then implement the transformations in Spark SQL before writing the data out to Cloud Storage and loading into BigQuery,,,A,single,4,18,https://www.examtopics.com/discussions/google/view/16674-exam-professional-data-engineer-topic-1-question-145/,11,"The correct answer is A. Dataprep by Trifacta is a cloud-based data preparation tool that offers a user-friendly, graphical interface for designing data transformations, making it accessible for non-developer analysts. It allows users to build and maintain transformation recipes that can be executed on a scheduled basis, addressing the requirement for scheduled transformations. Unlike options B, C, and D, which involve more technical approaches like SQL queries, Python coding, or Apache Spark, Dataprep provides an intuitive platform that simplifies the process of adapting to schema changes every third month without requiring extensive programming knowledge."
53,1,"You want to migrate an on-premises Hadoop system to Cloud Dataproc. Hive is the primary tool in use, and the data format is Optimized Row Columnar (ORC).
All ORC files have been successfully copied to a Cloud Storage bucket. You need to replicate some data to the cluster's local Hadoop Distributed File System
(HDFS) to maximize performance. What are two ways to start using Hive in Cloud Dataproc? (Choose two.)",Run the gsutil utility to transfer all ORC files from the Cloud Storage bucket to HDFS. Mount the Hive tables locally.,Run the gsutil utility to transfer all ORC files from the Cloud Storage bucket to any node of the Dataproc cluster. Mount the Hive tables locally.,Run the gsutil utility to transfer all ORC files from the Cloud Storage bucket to the master node of the Dataproc cluster. Then run the Hadoop utility to copy them do HDFS. Mount the Hive tables from HDFS.,Leverage Cloud Storage connector for Hadoop to mount the ORC files as external Hive tables. Replicate external Hive tables to the native ones.,Load the ORC files into BigQuery. Leverage BigQuery connector for Hadoop to mount the BigQuery tables as external Hive tables. Replicate external Hive tables to the native ones.,,C|D,multiple,5,34,https://www.examtopics.com/discussions/google/view/17224-exam-professional-data-engineer-topic-1-question-146/,11,"The correct answers are C and D because they both provide effective ways to utilize Hive with ORC files in Cloud Dataproc. Option C involves transferring ORC files to the master node of the Dataproc cluster and then using the Hadoop utility to copy them to HDFS, which allows Hive to mount the tables from HDFS, optimizing performance by leveraging local storage. Option D utilizes the Cloud Storage connector for Hadoop, which allows ORC files to be mounted as external Hive tables directly from Cloud Storage. This approach simplifies data access and management while still enabling replication to native Hive tables for performance improvements. Both methods ensure efficient data handling and integration with Hive in a Cloud Dataproc environment."
54,1,"You are implementing several batch jobs that must be executed on a schedule. These jobs have many interdependent steps that must be executed in a specific order. Portions of the jobs involve executing shell scripts, running Hadoop jobs, and running queries in BigQuery. The jobs are expected to run for many minutes up to several hours. If the steps fail, they must be retried a fixed number of times. Which service should you use to manage the execution of these jobs?",Cloud Scheduler,Cloud Dataflow,Cloud Functions,Cloud Composer,,,D,single,4,19,https://www.examtopics.com/discussions/google/view/16675-exam-professional-data-engineer-topic-1-question-147/,11,"Cloud Composer is the correct choice for managing complex batch jobs with interdependent steps because it is a fully managed workflow orchestration service built on Apache Airflow. It is designed to handle complex workflows that require executing tasks in a specific order, making it suitable for orchestrating tasks like shell scripts, Hadoop jobs, and BigQuery queries. Cloud Composer provides robust scheduling capabilities, supports retries for failed tasks, and can manage long-running jobs, which aligns with the requirements of the scenario. In contrast, Cloud Scheduler is more suited for simple, time-based task scheduling without dependencies, Cloud Dataflow is primarily for stream and batch data processing, and Cloud Functions is for executing lightweight, event-driven functions."
55,1,You work for a shipping company that has distribution centers where packages move on delivery lines to route them properly. The company wants to add cameras to the delivery lines to detect and track any visual damage to the packages in transit. You need to create a way to automate the detection of damaged packages and flag them for human review in real time while the packages are in transit. Which solution should you choose?,"Use BigQuery machine learning to be able to train the model at scale, so you can analyze the packages in batches.","Train an AutoML model on your corpus of images, and build an API around that model to integrate with the package tracking applications.","Use the Cloud Vision API to detect for damage, and raise an alert through Cloud Functions. Integrate the package tracking applications with this function.",Use TensorFlow to create a model that is trained on your corpus of images. Create a Python notebook in Cloud Datalab that uses this model so you can analyze for damaged packages.,,,B,single,4,29,https://www.examtopics.com/discussions/google/view/16677-exam-professional-data-engineer-topic-1-question-148/,11,"The correct answer is B because training an AutoML model on your corpus of images allows you to leverage Google's machine learning capabilities to automatically create a custom model tailored to detecting visual damage on packages. AutoML is designed to handle image classification tasks efficiently and can be integrated into existing systems via an API, enabling real-time detection and flagging of damaged packages. This approach is more suitable than A, which focuses on batch analysis, and C, which uses the Cloud Vision API but lacks the customization needed for specific damage detection. Option D involves using TensorFlow and Cloud Datalab, which requires more manual effort and expertise to develop and maintain the model compared to the automated and scalable solution provided by AutoML."
56,1,You are migrating your data warehouse to BigQuery. You have migrated all of your data into tables in a dataset. Multiple users from your organization will be using the data. They should only see certain tables based on their team membership. How should you set user permissions?,Assign the users/groups data viewer access at the table level for each table,"Create SQL views for each team in the same dataset in which the data resides, and assign the users/groups data viewer access to the SQL views","Create authorized views for each team in the same dataset in which the data resides, and assign the users/groups data viewer access to the authorized views",Create authorized views for each team in datasets created for each team. Assign the authorized views data viewer access to the dataset in which the data resides. Assign the users/groups data viewer access to the datasets in which the authorized views reside,,,A,single,4,47,https://www.examtopics.com/discussions/google/view/16678-exam-professional-data-engineer-topic-1-question-149/,12,"The correct answer is A. Assign the users/groups data viewer access at the table level for each table. This approach allows you to directly control access at the most granular level, ensuring that users only have visibility into the specific tables they are permitted to see based on their team membership. By setting permissions at the table level, you can precisely manage access without the need for additional layers of complexity, such as creating views. While options B, C, and D involve creating views, which can be useful for more complex data access scenarios, they introduce unnecessary complexity for the straightforward requirement of restricting access to specific tables."
57,1,"You need to store and analyze social media postings in Google BigQuery at a rate of 10,000 messages per minute in near real-time. Initially, design the application to use streaming inserts for individual postings. Your application also performs data aggregations right after the streaming inserts. You discover that the queries after streaming inserts do not exhibit strong consistency, and reports from the queries might miss in-flight data. How can you adjust your application design?",Re-write the application to load accumulated data every 2 minutes.,Convert the streaming insert code to batch load for individual messages.,"Load the original message to Google Cloud SQL, and export the table every hour to BigQuery via streaming inserts.","Estimate the average latency for data availability after streaming inserts, and always run queries after waiting twice as long.",,,D,single,4,53,https://www.examtopics.com/discussions/google/view/16723-exam-professional-data-engineer-topic-1-question-15/,12,"The correct answer is D. Estimate the average latency for data availability after streaming inserts, and always run queries after waiting twice as long. This approach addresses the issue of eventual consistency in BigQuery streaming inserts by accounting for the time it takes for data to become available for querying. By estimating the average latency and waiting twice as long before running queries, you can minimize the risk of missing in-flight data, ensuring more accurate and complete query results. Option A, re-writing the application to load data every 2 minutes, and Option B, converting to batch load, would compromise the near real-time requirement. Option C involves unnecessary complexity and does not directly address the consistency issue in BigQuery."
58,1,"You want to build a managed Hadoop system as your data lake. The data transformation process is composed of a series of Hadoop jobs executed in sequence.
To accomplish the design of separating storage from compute, you decided to use the Cloud Storage connector to store all input data, output data, and intermediary data. However, you noticed that one Hadoop job runs very slowly with Cloud Dataproc, when compared with the on-premises bare-metal Hadoop environment (8-core nodes with 100-GB RAM). Analysis shows that this particular Hadoop job is disk I/O intensive. You want to resolve the issue. What should you do?","Allocate sufficient memory to the Hadoop cluster, so that the intermediary data of that particular Hadoop job can be held in memory","Allocate sufficient persistent disk space to the Hadoop cluster, and store the intermediate data of that particular Hadoop job on native HDFS",Allocate more CPU cores of the virtual machine instances of the Hadoop cluster so that the networking bandwidth for each instance can scale up,"Allocate additional network interface card (NIC), and configure link aggregation in the operating system to use the combined throughput when working with Cloud Storage",,,B,single,4,23,https://www.examtopics.com/discussions/google/view/16868-exam-professional-data-engineer-topic-1-question-150/,12,"The correct answer is B. Allocate sufficient persistent disk space to the Hadoop cluster, and store the intermediate data of that particular Hadoop job on native HDFS. This approach addresses the disk I/O bottleneck by leveraging the local disk storage of the Hadoop cluster, which is typically faster for I/O operations compared to remote cloud storage. By storing intermediate data on native HDFS, the job can access data more quickly, reducing the overall execution time. Option A is not ideal because holding large amounts of intermediary data in memory may not be feasible or efficient, especially for disk I/O intensive tasks. Option C focuses on CPU and networking bandwidth, which does not directly address the disk I/O issue. Option D involves network configuration changes that do not specifically solve the problem of slow disk I/O performance."
59,1,"You work for an advertising company, and you've developed a Spark ML model to predict click-through rates at advertisement blocks. You've been developing everything at your on-premises data center, and now your company is migrating to Google Cloud. Your data center will be closing soon, so a rapid lift-and-shift migration is necessary. However, the data you've been using will be migrated to migrated to BigQuery. You periodically retrain your Spark ML models, so you need to migrate existing training pipelines to Google Cloud. What should you do?",Use Vertex AI for training existing Spark ML models,"Rewrite your models on TensorFlow, and start using Vertex AI","Use Dataproc for training existing Spark ML models, but start reading data directly from BigQuery","Spin up a Spark cluster on Compute Engine, and train Spark ML models on the data exported from BigQuery",,,C,single,4,28,https://www.examtopics.com/discussions/google/view/79680-exam-professional-data-engineer-topic-1-question-151/,12,"The correct choice is C because Dataproc is a managed Apache Spark and Hadoop service on Google Cloud, which allows you to run Spark ML models with minimal changes to your existing code. By using Dataproc, you can seamlessly transition your Spark workloads from your on-premises data center to the cloud, leveraging Google's infrastructure. Additionally, Dataproc integrates well with BigQuery, enabling you to read data directly from BigQuery for training your models, thus aligning with your company's data migration strategy. This approach avoids the need to rewrite your models in TensorFlow (as suggested in B) and does not require the manual setup and management of Spark clusters on Compute Engine (as suggested in D). Vertex AI (as suggested in A) is more suited for TensorFlow and other AI frameworks rather than Spark ML."
60,1,"You work for a global shipping company. You want to train a model on 40 TB of data to predict which ships in each geographic region are likely to cause delivery delays on any given day. The model will be based on multiple attributes collected from multiple sources. Telemetry data, including location in GeoJSON format, will be pulled from each ship and loaded every hour. You want to have a dashboard that shows how many and which ships are likely to cause delays within a region. You want to use a storage solution that has native functionality for prediction and geospatial processing. Which storage solution should you use?",BigQuery,Cloud Bigtable,Cloud Datastore,Cloud SQL for PostgreSQL,,,A,single,4,13,https://www.examtopics.com/discussions/google/view/17216-exam-professional-data-engineer-topic-1-question-152/,12,"BigQuery is the correct choice because it is a fully managed data warehouse that supports large-scale data analytics and has built-in capabilities for geospatial processing and machine learning predictions. It can efficiently handle the 40 TB of data and perform complex queries, including those involving GeoJSON data for geospatial analysis. BigQuery's integration with tools like BigQuery ML allows for native machine learning model training and predictions directly within the platform. In contrast, Cloud Bigtable is optimized for low-latency read and write operations but lacks native geospatial and ML functionalities. Cloud Datastore and Cloud SQL for PostgreSQL are not as well-suited for handling large-scale analytics and geospatial processing as BigQuery."
61,1,You operate an IoT pipeline built around Apache Kafka that normally receives around 5000 messages per second. You want to use Google Cloud Platform to create an alert as soon as the moving average over 1 hour drops below 4000 messages per second. What should you do?,"Consume the stream of data in Dataflow using Kafka IO. Set a sliding time window of 1 hour every 5 minutes. Compute the average when the window closes, and send an alert if the average is less than 4000 messages.","Consume the stream of data in Dataflow using Kafka IO. Set a fixed time window of 1 hour. Compute the average when the window closes, and send an alert if the average is less than 4000 messages.","Use Kafka Connect to link your Kafka message queue to Pub/Sub. Use a Dataflow template to write your messages from Pub/Sub to Bigtable. Use Cloud Scheduler to run a script every hour that counts the number of rows created in Bigtable in the last hour. If that number falls below 4000, send an alert.","Use Kafka Connect to link your Kafka message queue to Pub/Sub. Use a Dataflow template to write your messages from Pub/Sub to BigQuery. Use Cloud Scheduler to run a script every five minutes that counts the number of rows created in BigQuery in the last hour. If that number falls below 4000, send an alert.",,,A,single,4,22,https://www.examtopics.com/discussions/google/view/17218-exam-professional-data-engineer-topic-1-question-153/,13,"The correct answer is A because it uses a sliding time window, which is essential for continuously monitoring the moving average of messages per second over a 1-hour period. By setting a sliding window of 1 hour that updates every 5 minutes, you can ensure that the average is recalculated frequently, allowing for timely alerts if the message rate drops below 4000. This approach provides a more real-time and responsive monitoring solution compared to a fixed time window (as in choice B), which would only provide updates once per hour. Choices C and D involve unnecessary complexity by introducing additional components like Pub/Sub, Bigtable, or BigQuery, and rely on Cloud Scheduler, which would not provide the same level of immediacy and granularity in monitoring as a sliding window in Dataflow."
62,1,You plan to deploy Cloud SQL using MySQL. You need to ensure high availability in the event of a zone failure. What should you do?,"Create a Cloud SQL instance in one zone, and create a failover replica in another zone within the same region.","Create a Cloud SQL instance in one zone, and create a read replica in another zone within the same region.","Create a Cloud SQL instance in one zone, and configure an external read replica in a zone in a different region.","Create a Cloud SQL instance in a region, and configure automatic backup to a Cloud Storage bucket in the same region.",,,A,single,4,36,https://www.examtopics.com/discussions/google/view/16688-exam-professional-data-engineer-topic-1-question-154/,13,"The correct answer is A. Creating a Cloud SQL instance with a failover replica in another zone within the same region ensures high availability in the event of a zone failure. A failover replica is specifically designed to take over automatically if the primary instance becomes unavailable, providing continuity of service. Option B, creating a read replica, is primarily used for load balancing and read scaling, not for high availability. Option C involves an external read replica in a different region, which is not suitable for automatic failover within the same region. Option D, configuring automatic backup, is important for data recovery but does not provide immediate high availability in case of a zone failure."
63,1,"Your company is selecting a system to centralize data ingestion and delivery. You are considering messaging and data integration systems to address the requirements. The key requirements are:
✑ The ability to seek to a particular offset in a topic, possibly back to the start of all data ever captured
✑ Support for publish/subscribe semantics on hundreds of topics

Retain per-key ordering -
//IMG//

Which system should you choose?",Apache Kafka,Cloud Storage,Dataflow,Firebase Cloud Messaging,,,A,single,4,6,https://www.examtopics.com/discussions/google/view/80517-exam-professional-data-engineer-topic-1-question-155/,13,"Apache Kafka is the correct choice because it is specifically designed for handling real-time data feeds with the ability to retain and replay messages by seeking to a particular offset in a topic. This feature allows users to go back to the start of all data ever captured, meeting the requirement for historical data access. Kafka supports publish/subscribe semantics and can efficiently handle hundreds of topics while maintaining per-key ordering, which is essential for ensuring data consistency. In contrast, Cloud Storage and Dataflow are more suited for batch processing and data transformation, respectively, while Firebase Cloud Messaging is primarily used for mobile and web push notifications, lacking the robust data ingestion and delivery capabilities required."
64,1,You are planning to migrate your current on-premises Apache Hadoop deployment to the cloud. You need to ensure that the deployment is as fault-tolerant and cost-effective as possible for long-running batch jobs. You want to use a managed service. What should you do?,"Deploy a Dataproc cluster. Use a standard persistent disk and 50% preemptible workers. Store data in Cloud Storage, and change references in scripts from hdfs:// to gs://","Deploy a Dataproc cluster. Use an SSD persistent disk and 50% preemptible workers. Store data in Cloud Storage, and change references in scripts from hdfs:// to gs://","Install Hadoop and Spark on a 10-node Compute Engine instance group with standard instances. Install the Cloud Storage connector, and store the data in Cloud Storage. Change references in scripts from hdfs:// to gs://",Install Hadoop and Spark on a 10-node Compute Engine instance group with preemptible instances. Store data in HDFS. Change references in scripts from hdfs:// to gs://,,,A,single,4,14,https://www.examtopics.com/discussions/google/view/17211-exam-professional-data-engineer-topic-1-question-156/,13,"The correct answer is A because deploying a Dataproc cluster with a standard persistent disk and 50% preemptible workers provides a balance between cost-effectiveness and fault tolerance for long-running batch jobs. Dataproc is a managed service that simplifies the management of Hadoop and Spark, reducing operational overhead. Using preemptible workers can significantly lower costs, as they are cheaper than regular instances, while still maintaining job resilience due to Dataproc's ability to handle worker preemption gracefully. Storing data in Cloud Storage and changing script references from hdfs:// to gs:// ensures data durability and availability, leveraging Google's managed storage solution. Option B, while similar, uses SSDs, which are more expensive and unnecessary for batch processing workloads that do not require high IOPS. Options C and D involve more manual management and do not leverage the benefits of a fully managed service like Dataproc."
65,1,"Your team is working on a binary classification problem. You have trained a support vector machine (SVM) classifier with default parameters, and received an area under the Curve (AUC) of 0.87 on the validation set. You want to increase the AUC of the model. What should you do?",Perform hyperparameter tuning,"Train a classifier with deep neural networks, because neural networks would always beat SVMs",Deploy the model and measure the real-world AUC; it's always higher because of generalization,Scale predictions you get out of the model (tune a scaling factor as a hyperparameter) in order to get the highest AUC,,,A,single,4,18,https://www.examtopics.com/discussions/google/view/17212-exam-professional-data-engineer-topic-1-question-157/,13,"The correct answer is A. Perform hyperparameter tuning. Hyperparameter tuning is a crucial step in optimizing the performance of machine learning models, including SVMs. By adjusting parameters such as the kernel type, regularization parameter (C), and the gamma value, you can potentially improve the model's ability to separate classes, thereby increasing the AUC. Option B is incorrect because while deep neural networks can be powerful, they are not guaranteed to outperform SVMs in every scenario, especially if the dataset is small or not complex enough. Option C is incorrect because deploying a model without ensuring its optimal performance on validation data is not advisable, and real-world AUC can vary based on data distribution. Option D is incorrect because scaling predictions does not inherently improve the model's ability to discriminate between classes and thus does not directly increase the AUC."
66,1,You need to deploy additional dependencies to all nodes of a Cloud Dataproc cluster at startup using an existing initialization action. Company security policies require that Cloud Dataproc nodes do not have access to the Internet so public initialization actions cannot fetch resources. What should you do?,Deploy the Cloud SQL Proxy on the Cloud Dataproc master,Use an SSH tunnel to give the Cloud Dataproc cluster access to the Internet,Copy all dependencies to a Cloud Storage bucket within your VPC security perimeter,Use Resource Manager to add the service account used by the Cloud Dataproc cluster to the Network User role,,,C,single,4,16,https://www.examtopics.com/discussions/google/view/16899-exam-professional-data-engineer-topic-1-question-158/,14,"The correct answer is C. Copy all dependencies to a Cloud Storage bucket within your VPC security perimeter. This approach ensures that all necessary dependencies are accessible to the Cloud Dataproc nodes without requiring internet access, which aligns with the company's security policies. By storing the dependencies in a Cloud Storage bucket that resides within the VPC security perimeter, you can ensure secure and controlled access to these resources during the initialization process. Option A, deploying the Cloud SQL Proxy, is unrelated to fetching dependencies. Option B, using an SSH tunnel, would violate the security policy by indirectly providing internet access. Option D, adding the service account to the Network User role, does not address the need to access dependencies without internet connectivity."
67,1,"You need to choose a database for a new project that has the following requirements:
✑ Fully managed
✑ Able to automatically scale up
✑ Transactionally consistent
✑ Able to scale up to 6 TB
✑ Able to be queried using SQL
Which database do you choose?",Cloud SQL,Cloud Bigtable,Cloud Spanner,Cloud Datastore,,,A,single,4,64,https://www.examtopics.com/discussions/google/view/17213-exam-professional-data-engineer-topic-1-question-159/,14,"Cloud SQL is the correct choice because it is a fully managed relational database service that supports SQL queries and offers transactional consistency. It can automatically scale up to handle increased workloads and supports databases up to several terabytes in size, meeting the requirement of scaling up to 6 TB. Cloud Bigtable and Cloud Datastore are not suitable because they are NoSQL databases, which do not natively support SQL queries or transactional consistency in the same way as relational databases. Cloud Spanner, while also a viable option for SQL queries and transactional consistency, is typically used for larger-scale applications and may be more complex and costly than necessary for the specified requirements."
68,1,"Your startup has never implemented a formal security policy. Currently, everyone in the company has access to the datasets stored in Google BigQuery. Teams have freedom to use the service as they see fit, and they have not documented their use cases. You have been asked to secure the data warehouse. You need to discover what everyone is doing. What should you do first?",Use Google Stackdriver Audit Logs to review data access.,Get the identity and access management IIAM) policy of each table,Use Stackdriver Monitoring to see the usage of BigQuery query slots.,Use the Google Cloud Billing API to see what account the warehouse is being billed to.,,,A,single,4,38,https://www.examtopics.com/discussions/google/view/16729-exam-professional-data-engineer-topic-1-question-16/,14,"The correct answer is A. Use Google Stackdriver Audit Logs to review data access. This is because Stackdriver Audit Logs provide detailed records of who accessed what data and when, which is crucial for understanding current usage patterns and identifying any potential security risks. By reviewing these logs, you can gain insights into how different teams are interacting with the datasets in BigQuery, which is essential for developing a comprehensive security policy. Option B, getting the IAM policy of each table, would show current access permissions but not actual usage. Option C, using Stackdriver Monitoring to see query slot usage, would provide performance metrics rather than access details. Option D, using the Google Cloud Billing API, would only provide billing information, which is not directly useful for understanding data access patterns."
69,1,"You work for a mid-sized enterprise that needs to move its operational system transaction data from an on-premises database to GCP. The database is about 20
TB in size. Which database should you choose?",Cloud SQL,Cloud Bigtable,Cloud Spanner,Cloud Datastore,,,A,single,4,25,https://www.examtopics.com/discussions/google/view/17214-exam-professional-data-engineer-topic-1-question-160/,14,"Cloud SQL is the appropriate choice for moving an operational system transaction database to GCP, especially when dealing with a 20 TB on-premises database. It is a fully-managed relational database service that supports popular databases like MySQL, PostgreSQL, and SQL Server, making it suitable for transactional workloads. Cloud Bigtable, on the other hand, is designed for large-scale analytical and NoSQL workloads, not transactional systems. Cloud Spanner is a good option for globally distributed databases requiring strong consistency but may be more complex and costly for a mid-sized enterprise. Cloud Datastore is a NoSQL document database optimized for web and mobile applications, not for transactional systems."
