question_id,topic,question_text,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,answer,question_type,nb_choices,nb_comments,url,page,explanation
78,1,"You are migrating a table to BigQuery and are deciding on the data model. Your table stores information related to purchases made across several store locations and includes information like the time of the transaction, items purchased, the store ID, and the city and state in which the store is located. You frequently query this table to see how many of each item were sold over the past 30 days and to look at purchasing trends by state, city, and individual store. How would you model this table for the best query performance?","Partition by transaction time; cluster by state first, then city, then store ID.","Partition by transaction time; cluster by store ID first, then city, then state.","Top-level cluster by state first, then city, then store ID.","Top-level cluster by store ID first, then city, then state.",,,A,single,4,13,https://www.examtopics.com/discussions/google/view/79685-exam-professional-data-engineer-topic-1-question-169/,16,"Le choix A est le plus approprié pour optimiser les performances des requêtes dans BigQuery. En partitionnant par le temps de transaction, vous facilitez les requêtes qui se concentrent sur une période spécifique, comme les 30 derniers jours, ce qui réduit la quantité de données à scanner. En clusterisant d'abord par état, puis par ville, et enfin par ID de magasin, vous optimisez les requêtes qui analysent les tendances d'achat par région géographique, car les données sont physiquement organisées de manière à minimiser le nombre de blocs à lire pour ces types de requêtes. Les autres options, B, C et D, ne priorisent pas l'organisation géographique de manière aussi efficace, ce qui pourrait entraîner des performances de requête moins optimales."
79,1,Your company is migrating their 30-node Apache Hadoop cluster to the cloud. They want to re-use Hadoop jobs they have already created and minimize the management of the cluster as much as possible. They also want to be able to persist data beyond the life of the cluster. What should you do?,Create a Google Cloud Dataflow job to process the data.,Create a Google Cloud Dataproc cluster that uses persistent disks for HDFS.,Create a Hadoop cluster on Google Compute Engine that uses persistent disks.,Create a Cloud Dataproc cluster that uses the Google Cloud Storage connector.,Create a Hadoop cluster on Google Compute Engine that uses Local SSD disks.,,D,single,5,26,https://www.examtopics.com/discussions/google/view/16730-exam-professional-data-engineer-topic-1-question-17/,16,"La réponse correcte est D. Créer un cluster Cloud Dataproc qui utilise le connecteur Google Cloud Storage. Cloud Dataproc est un service géré qui simplifie l'exécution de clusters Hadoop sur Google Cloud, ce qui répond au besoin de minimiser la gestion du cluster. En utilisant le connecteur Google Cloud Storage, les données peuvent être stockées de manière persistante dans Google Cloud Storage, ce qui permet de les conserver au-delà de la durée de vie du cluster, contrairement à l'utilisation de disques persistants pour HDFS (option B) ou de SSD locaux (option E). De plus, Cloud Dataproc permet de réutiliser les jobs Hadoop existants, ce qui n'est pas le cas avec Google Cloud Dataflow (option A), qui nécessite la réécriture des jobs."
80,1,"You are updating the code for a subscriber to a Pub/Sub feed. You are concerned that upon deployment the subscriber may erroneously acknowledge messages, leading to message loss. Your subscriber is not set up to retain acknowledged messages. What should you do to ensure that you can recover from errors after deployment?",Set up the Pub/Sub emulator on your local machine. Validate the behavior of your new subscriber logic before deploying it to production.,Create a Pub/Sub snapshot before deploying new subscriber code. Use a Seek operation to re-deliver messages that became available after the snapshot was created.,"Use Cloud Build for your deployment. If an error occurs after deployment, use a Seek operation to locate a timestamp logged by Cloud Build at the start of the deployment.","Enable dead-lettering on the Pub/Sub topic to capture messages that aren't successfully acknowledged. If an error occurs after deployment, re-deliver any messages captured by the dead-letter queue.",,,B,single,4,12,https://www.examtopics.com/discussions/google/view/79515-exam-professional-data-engineer-topic-1-question-170/,16,"La réponse correcte est B. Créer un instantané Pub/Sub avant de déployer le nouveau code du souscripteur permet de sauvegarder l'état actuel des messages non reconnus. En cas d'erreur après le déploiement, vous pouvez utiliser une opération Seek pour réacheminer les messages à partir de l'instantané, garantissant ainsi que les messages ne sont pas perdus. L'option A, qui consiste à utiliser un émulateur local, ne protège pas contre les erreurs en production. L'option C, bien qu'elle utilise Cloud Build, ne garantit pas la récupération des messages perdus. L'option D, activer le dead-lettering, ne permet pas de récupérer les messages déjà reconnus à tort."
81,1,"You work for a large real estate firm and are preparing 6 TB of home sales data to be used for machine learning. You will use SQL to transform the data and use
BigQuery ML to create a machine learning model. You plan to use the model for predictions against a raw dataset that has not been transformed. How should you set up your workflow in order to prevent skew at prediction time?","When creating your model, use BigQuery's TRANSFORM clause to define preprocessing steps. At prediction time, use BigQuery's ML.EVALUATE clause without specifying any transformations on the raw input data.","When creating your model, use BigQuery's TRANSFORM clause to define preprocessing steps. Before requesting predictions, use a saved query to transform your raw input data, and then use ML.EVALUATE.","Use a BigQuery view to define your preprocessing logic. When creating your model, use the view as your model training data. At prediction time, use BigQuery's ML.EVALUATE clause without specifying any transformations on the raw input data.","Preprocess all data using Dataflow. At prediction time, use BigQuery's ML.EVALUATE clause without specifying any further transformations on the input data.",,,A,single,4,12,https://www.examtopics.com/discussions/google/view/79520-exam-professional-data-engineer-topic-1-question-171/,17,"La réponse correcte est A. Lors de la création de votre modèle, l'utilisation de la clause TRANSFORM de BigQuery permet de définir les étapes de prétraitement directement dans le processus de modélisation. Cela garantit que les mêmes transformations sont appliquées de manière cohérente lors de l'entraînement et de la prédiction, éliminant ainsi le risque de biais de données (skew) entre ces deux étapes. À l'heure de la prédiction, l'utilisation de la clause ML.EVALUATE sans transformations supplémentaires sur les données brutes garantit que les mêmes transformations définies initialement sont appliquées automatiquement, assurant ainsi la cohérence des résultats. Les autres choix, tels que B, C et D, nécessitent des transformations manuelles supplémentaires ou des étapes externes, ce qui peut introduire des incohérences et des biais."
82,1,"You are analyzing the price of a company's stock. Every 5 seconds, you need to compute a moving average of the past 30 seconds' worth of data. You are reading data from Pub/Sub and using DataFlow to conduct the analysis. How should you set up your windowed pipeline?",Use a fixed window with a duration of 5 seconds. Emit results by setting the following trigger: AfterProcessingTime.pastFirstElementInPane().plusDelayOf (Duration.standardSeconds(30)),Use a fixed window with a duration of 30 seconds. Emit results by setting the following trigger: AfterWatermark.pastEndOfWindow().plusDelayOf (Duration.standardSeconds(5)),Use a sliding window with a duration of 5 seconds. Emit results by setting the following trigger: AfterProcessingTime.pastFirstElementInPane().plusDelayOf (Duration.standardSeconds(30)),Use a sliding window with a duration of 30 seconds and a period of 5 seconds. Emit results by setting the following trigger: AfterWatermark.pastEndOfWindow (),,,D,single,4,6,https://www.examtopics.com/discussions/google/view/79521-exam-professional-data-engineer-topic-1-question-172/,17,"La réponse correcte est D car elle utilise une fenêtre glissante d'une durée de 30 secondes avec une période de 5 secondes, ce qui permet de calculer la moyenne mobile sur les 30 dernières secondes de données toutes les 5 secondes, comme requis. Les fenêtres glissantes sont idéales pour ce type d'analyse continue car elles permettent de superposer les fenêtres et de calculer des moyennes mobiles. Le déclencheur AfterWatermark.pastEndOfWindow() garantit que les calculs sont effectués après la réception de toutes les données pertinentes pour la fenêtre de 30 secondes. Les autres options, A, B et C, ne configurent pas correctement la fenêtre ou le déclencheur pour répondre aux exigences de calcul de la moyenne mobile toutes les 5 secondes sur une période de 30 secondes."
83,1,"You are designing a pipeline that publishes application events to a Pub/Sub topic. Although message ordering is not important, you need to be able to aggregate events across disjoint hourly intervals before loading the results to BigQuery for analysis. What technology should you use to process and load this data to
BigQuery while ensuring that it will scale with large volumes of events?",Create a Cloud Function to perform the necessary data processing that executes using the Pub/Sub trigger every time a new message is published to the topic.,"Schedule a Cloud Function to run hourly, pulling all available messages from the Pub/Sub topic and performing the necessary aggregations.","Schedule a batch Dataflow job to run hourly, pulling all available messages from the Pub/Sub topic and performing the necessary aggregations.",Create a streaming Dataflow job that reads continually from the Pub/Sub topic and performs the necessary aggregations using tumbling windows.,,,D,single,4,12,https://www.examtopics.com/discussions/google/view/79524-exam-professional-data-engineer-topic-1-question-173/,17,"La réponse correcte est D. Créer un job de streaming Dataflow qui lit continuellement depuis le sujet Pub/Sub et effectue les agrégations nécessaires en utilisant des fenêtres glissantes. Dataflow est conçu pour traiter de grandes quantités de données en temps réel et peut gérer efficacement les agrégations sur des intervalles horaires disjoints grâce à l'utilisation de fenêtres de type ""tumbling"". Contrairement aux options A et B, qui impliquent l'utilisation de Cloud Functions, Dataflow est mieux adapté pour le traitement de flux de données à grande échelle. L'option C, bien qu'elle utilise Dataflow, repose sur des jobs par lots planifiés, ce qui n'est pas aussi efficace pour le traitement en temps réel que le streaming continu."
84,1,"You work for a large financial institution that is planning to use Dialogflow to create a chatbot for the company's mobile app. You have reviewed old chat logs and tagged each conversation for intent based on each customer's stated intention for contacting customer service. About 70% of customer requests are simple requests that are solved within 10 intents. The remaining 30% of inquiries require much longer, more complicated requests. Which intents should you automate first?",Automate the 10 intents that cover 70% of the requests so that live agents can handle more complicated requests.,Automate the more complicated requests first because those require more of the agents' time.,Automate a blend of the shortest and longest intents to be representative of all intents.,Automate intents in places where common words such as 'payment' appear only once so the software isn't confused.,,,A,single,4,6,https://www.examtopics.com/discussions/google/view/80144-exam-professional-data-engineer-topic-1-question-174/,17,"Automatiser les 10 intentions qui couvrent 70% des demandes (choix A) est la stratégie la plus efficace car cela permet de traiter rapidement la majorité des requêtes simples, libérant ainsi les agents pour gérer les demandes plus complexes. En se concentrant sur les demandes les plus fréquentes, l'institution peut améliorer l'efficacité du service client et réduire les temps d'attente pour les clients. Contrairement au choix B, qui propose d'automatiser les requêtes complexes, cela ne maximiserait pas l'impact immédiat sur le volume global des demandes. Le choix C, qui suggère un mélange d'intentions courtes et longues, ne serait pas aussi efficace pour optimiser les ressources. Enfin, le choix D ne prend pas en compte l'impact global sur l'efficacité du service client."
85,1,"Your company is implementing a data warehouse using BigQuery, and you have been tasked with designing the data model. You move your on-premises sales data warehouse with a star data schema to BigQuery but notice performance issues when querying the data of the past 30 days. Based on Google's recommended practices, what should you do to speed up the query without increasing storage costs?",Denormalize the data.,Shard the data by customer ID.,Materialize the dimensional data in views.,Partition the data by transaction date.,,,D,single,4,14,https://www.examtopics.com/discussions/google/view/79498-exam-professional-data-engineer-topic-1-question-175/,17,"La réponse correcte est D. Partitionner les données par date de transaction. En partitionnant les données par date, vous limitez la quantité de données scannées lors de l'exécution de requêtes, ce qui améliore les performances sans augmenter les coûts de stockage. Les partitions permettent de cibler uniquement les données pertinentes pour la période des 30 derniers jours, réduisant ainsi le temps de traitement et l'utilisation des ressources. Contrairement à la dénormalisation (A) qui peut augmenter les coûts de stockage, ou au sharding par ID client (B) qui n'est pas optimal pour les requêtes basées sur le temps, le partitionnement par date est une solution efficace pour les requêtes temporelles. Les vues matérialisées (C) peuvent améliorer les performances, mais elles ne réduisent pas nécessairement les coûts de stockage et ne ciblent pas spécifiquement les requêtes temporelles."
86,1,"You have uploaded 5 years of log data to Cloud Storage. A user reported that some data points in the log data are outside of their expected ranges, which indicates errors. You need to address this issue and be able to run the process again in the future while keeping the original data for compliance reasons. What should you do?","Import the data from Cloud Storage into BigQuery. Create a new BigQuery table, and skip the rows with errors.",Create a Compute Engine instance and create a new copy of the data in Cloud Storage. Skip the rows with errors.,"Create a Dataflow workflow that reads the data from Cloud Storage, checks for values outside the expected range, sets the value to an appropriate default, and writes the updated records to a new dataset in Cloud Storage.","Create a Dataflow workflow that reads the data from Cloud Storage, checks for values outside the expected range, sets the value to an appropriate default, and writes the updated records to the same dataset in Cloud Storage.",,,C,single,4,8,https://www.examtopics.com/discussions/google/view/79501-exam-professional-data-engineer-topic-1-question-176/,18,"La réponse correcte est C. Créer un workflow Dataflow qui lit les données depuis Cloud Storage, vérifie les valeurs en dehors de la plage attendue, attribue une valeur par défaut appropriée, et écrit les enregistrements mis à jour dans un nouveau jeu de données dans Cloud Storage. Cette approche permet de conserver les données originales pour des raisons de conformité tout en créant un ensemble de données nettoyé pour une utilisation future. Contrairement à l'option A, qui ignore simplement les lignes avec des erreurs, l'option C corrige les erreurs en attribuant des valeurs par défaut. L'option B n'est pas optimale car elle nécessite une gestion manuelle et ne propose pas de solution automatisée pour le traitement des erreurs. Enfin, l'option D n'est pas appropriée car elle écrase les données originales, ce qui n'est pas souhaitable pour des raisons de conformité."
87,1,"You want to rebuild your batch pipeline for structured data on Google Cloud. You are using PySpark to conduct data transformations at scale, but your pipelines are taking over twelve hours to run. To expedite development and pipeline run time, you want to use a serverless tool and SOL syntax. You have already moved your raw data into Cloud Storage. How should you build the pipeline on Google Cloud while meeting speed and processing requirements?","Convert your PySpark commands into SparkSQL queries to transform the data, and then run your pipeline on Dataproc to write the data into BigQuery.","Ingest your data into Cloud SQL, convert your PySpark commands into SparkSQL queries to transform the data, and then use federated quenes from BigQuery for machine learning.","Ingest your data into BigQuery from Cloud Storage, convert your PySpark commands into BigQuery SQL queries to transform the data, and then write the transformations to a new table.","Use Apache Beam Python SDK to build the transformation pipelines, and write the data into BigQuery.",,,C,single,4,14,https://www.examtopics.com/discussions/google/view/79540-exam-professional-data-engineer-topic-1-question-177/,18,"La réponse correcte est C. Ingest your data into BigQuery from Cloud Storage, convert your PySpark commands into BigQuery SQL queries to transform the data, and then write the transformations to a new table.

BigQuery est un service d'entrepôt de données entièrement géré et sans serveur qui permet d'exécuter des requêtes SQL à grande échelle, ce qui répond aux exigences de rapidité et de traitement. En convertissant vos commandes PySpark en requêtes SQL BigQuery, vous pouvez tirer parti de la puissance de traitement de BigQuery pour effectuer des transformations de données efficacement. De plus, l'ingestion directe des données depuis Cloud Storage vers BigQuery simplifie le flux de travail et réduit le temps de traitement par rapport à l'utilisation de Dataproc (option A) ou Cloud SQL (option B). L'option D, bien qu'elle utilise un outil sans serveur, ne répond pas directement à l'exigence d'utiliser la syntaxe SQL."
88,1,"You are testing a Dataflow pipeline to ingest and transform text files. The files are compressed gzip, errors are written to a dead-letter queue, and you are using
SideInputs to join data. You noticed that the pipeline is taking longer to complete than expected; what should you do to expedite the Dataflow job?",Switch to compressed Avro files.,Reduce the batch size.,Retry records that throw an error.,Use CoGroupByKey instead of the SideInput.,,,D,single,4,13,https://www.examtopics.com/discussions/google/view/79547-exam-professional-data-engineer-topic-1-question-178/,18,"L'option D, utiliser CoGroupByKey au lieu de SideInput, est la réponse correcte car CoGroupByKey est généralement plus efficace pour joindre de grandes quantités de données dans un pipeline Dataflow. Les SideInputs sont pratiques pour des ensembles de données plus petits, mais peuvent ralentir le traitement lorsqu'ils sont utilisés avec des ensembles de données plus volumineux en raison de la nécessité de charger ces données dans chaque worker. En revanche, CoGroupByKey permet de traiter les données de manière plus distribuée et efficace. Les autres options, comme passer à des fichiers Avro compressés (A) ou réduire la taille du lot (B), ne résoudraient pas directement le problème de performance lié à l'utilisation de SideInputs. Réessayer les enregistrements qui génèrent une erreur (C) ne ferait qu'augmenter le temps de traitement."
89,1,"You are building a real-time prediction engine that streams files, which may contain PII (personal identifiable information) data, into Cloud Storage and eventually into BigQuery. You want to ensure that the sensitive data is masked but still maintains referential integrity, because names and emails are often used as join keys.
How should you use the Cloud Data Loss Prevention API (DLP API) to ensure that the PII data is not accessible by unauthorized individuals?","Create a pseudonym by replacing the PII data with cryptogenic tokens, and store the non-tokenized data in a locked-down button.","Redact all PII data, and store a version of the unredacted data in a locked-down bucket.","Scan every table in BigQuery, and mask the data it finds that has PII.",Create a pseudonym by replacing PII data with a cryptographic format-preserving token.,,,D,single,4,26,https://www.examtopics.com/discussions/google/view/79550-exam-professional-data-engineer-topic-1-question-179/,18,"La réponse correcte est D. Créer un pseudonyme en remplaçant les données PII par un jeton cryptographique préservant le format. Cela permet de protéger les informations personnelles tout en maintenant l'intégrité référentielle nécessaire pour les jointures de données, car les jetons conservent le même format que les données d'origine. Contrairement à l'option A, qui mentionne des ""cryptogenic tokens"" sans préciser le maintien du format, l'option D garantit que les données restent utilisables pour les opérations de jointure. L'option B, qui consiste à masquer toutes les données PII, ne permettrait pas de maintenir l'intégrité référentielle. Enfin, l'option C, qui propose de scanner chaque table dans BigQuery, n'est pas proactive et ne garantit pas que les données sensibles soient protégées avant leur stockage."
90,1,"Business owners at your company have given you a database of bank transactions. Each row contains the user ID, transaction type, transaction location, and transaction amount. They ask you to investigate what type of machine learning can be applied to the data. Which three machine learning applications can you use? (Choose three.)",Supervised learning to determine which transactions are most likely to be fraudulent.,Unsupervised learning to determine which transactions are most likely to be fraudulent.,Clustering to divide the transactions into N categories based on feature similarity.,Supervised learning to predict the location of a transaction.,Reinforcement learning to predict the location of a transaction.,Unsupervised learning to predict the location of a transaction.,B|C|D,multiple,6,55,https://www.examtopics.com/discussions/google/view/16654-exam-professional-data-engineer-topic-1-question-18/,18,"Les réponses correctes sont B, C et D. 

B. L'apprentissage non supervisé peut être utilisé pour détecter des transactions potentiellement frauduleuses en identifiant des anomalies ou des motifs inhabituels dans les données, sans étiquettes préalables. C. Le clustering, une technique d'apprentissage non supervisé, permet de regrouper les transactions en N catégories basées sur la similarité des caractéristiques, ce qui peut aider à découvrir des segments ou des comportements distincts dans les données. D. L'apprentissage supervisé peut être appliqué pour prédire l'emplacement d'une transaction si l'on dispose d'un ensemble de données étiqueté avec des emplacements connus, permettant ainsi de former un modèle prédictif."
91,1,"You are migrating an application that tracks library books and information about each book, such as author or year published, from an on-premises data warehouse to BigQuery. In your current relational database, the author information is kept in a separate table and joined to the book information on a common key. Based on Google's recommended practice for schema design, how would you structure the data to ensure optimal speed of queries about the author of each book that has been borrowed?","Keep the schema the same, maintain the different tables for the book and each of the attributes, and query as you are doing today.","Create a table that is wide and includes a column for each attribute, including the author's first name, last name, date of birth, etc.","Create a table that includes information about the books and authors, but nest the author fields inside the author column.","Keep the schema the same, create a view that joins all of the tables, and always query the view.",,,C,single,4,8,https://www.examtopics.com/discussions/google/view/79552-exam-professional-data-engineer-topic-1-question-180/,19,"La réponse correcte est C. Dans BigQuery, il est recommandé d'utiliser des structures de données imbriquées pour optimiser les performances des requêtes. En imbriquant les champs de l'auteur dans une colonne dédiée, vous réduisez le besoin de jointures complexes, ce qui améliore la vitesse des requêtes. Contrairement à l'option A, qui maintient des tables séparées nécessitant des jointures, ou à l'option D, qui utilise des vues et peut entraîner des performances moindres, l'option C permet d'accéder directement aux informations de l'auteur dans une seule table. L'option B, bien qu'elle crée une table large, ne profite pas de l'efficacité des structures imbriquées pour gérer les relations hiérarchiques."
92,1,You need to give new website users a globally unique identifier (GUID) using a service that takes in data points and returns a GUID. This data is sourced from both internal and external systems via HTTP calls that you will make via microservices within your pipeline. There will be tens of thousands of messages per second and that can be multi-threaded. and you worry about the backpressure on the system. How should you design your pipeline to minimize that backpressure?,Call out to the service via HTTP.,Create the pipeline statically in the class definition.,Create a new object in the startBundle method of DoFn.,Batch the job into ten-second increments.,,,D,single,4,19,https://www.examtopics.com/discussions/google/view/79924-exam-professional-data-engineer-topic-1-question-181/,19,"La réponse correcte est D. Batch the job into ten-second increments. En traitant les messages par lots sur des intervalles de dix secondes, on réduit la fréquence des appels HTTP, ce qui diminue la charge sur le système et minimise le risque de backpressure. Les options A, B et C ne traitent pas efficacement le problème de la charge élevée, car elles impliquent des appels HTTP individuels ou la création d'objets qui ne gèrent pas le volume élevé de manière optimale. Le traitement par lots permet de regrouper les demandes, optimisant ainsi l'utilisation des ressources et améliorant la performance du système dans un environnement à haute concurrence."
93,1,"You are migrating your data warehouse to Google Cloud and decommissioning your on-premises data center. Because this is a priority for your company, you know that bandwidth will be made available for the initial data load to the cloud. The files being transferred are not large in number, but each file is 90 GB.
Additionally, you want your transactional systems to continually update the warehouse on Google Cloud in real time. What tools should you use to migrate the data and ensure that it continues to write to your warehouse?",Storage Transfer Service for the migration; Pub/Sub and Cloud Data Fusion for the real-time updates,BigQuery Data Transfer Service for the migration; Pub/Sub and Dataproc for the real-time updates,gsutil for the migration; Pub/Sub and Dataflow for the real-time updates,gsutil for both the migration and the real-time updates,,,C,single,4,8,https://www.examtopics.com/discussions/google/view/79560-exam-professional-data-engineer-topic-1-question-182/,19,"La réponse correcte est C. gsutil pour la migration; Pub/Sub et Dataflow pour les mises à jour en temps réel. gsutil est un outil de ligne de commande efficace pour transférer de gros fichiers vers Google Cloud Storage, ce qui convient bien aux fichiers de 90 Go mentionnés. Pour les mises à jour en temps réel, Pub/Sub permet de capturer et de diffuser des messages de manière fiable, tandis que Dataflow traite ces flux de données en temps réel pour les intégrer dans le data warehouse. Les autres choix ne sont pas aussi adaptés : Storage Transfer Service est plus pour les transferts de masse de fichiers plus petits, et BigQuery Data Transfer Service n'est pas conçu pour des fichiers de cette taille ou pour des mises à jour en temps réel."
94,1,"You are using Bigtable to persist and serve stock market data for each of the major indices. To serve the trading application, you need to access only the most recent stock prices that are streaming in. How should you design your row key and tables to ensure that you can access the data with the simplest query?","Create one unique table for all of the indices, and then use the index and timestamp as the row key design.","Create one unique table for all of the indices, and then use a reverse timestamp as the row key design.","For each index, have a separate table and use a timestamp as the row key design.","For each index, have a separate table and use a reverse timestamp as the row key design.",,,B,single,4,43,https://www.examtopics.com/discussions/google/view/79580-exam-professional-data-engineer-topic-1-question-183/,19,"La réponse correcte est B. En utilisant une table unique pour tous les indices avec un timestamp inversé comme clé de ligne, vous optimisez l'accès aux données les plus récentes. Le timestamp inversé permet de stocker les entrées les plus récentes en haut, ce qui facilite l'accès rapide aux dernières données de prix des actions. Contrairement aux options C et D, qui nécessitent des tables séparées pour chaque indice, l'option B simplifie la gestion des données en centralisant les informations dans une seule table. L'option A n'est pas optimale car elle ne garantit pas que les données les plus récentes soient facilement accessibles, contrairement à l'utilisation d'un timestamp inversé."
95,1,"You are building a report-only data warehouse where the data is streamed into BigQuery via the streaming API. Following Google's best practices, you have both a staging and a production table for the data. How should you design your data loading to ensure that there is only one master dataset without affecting performance on either the ingestion or reporting pieces?","Have a staging table that is an append-only model, and then update the production table every three hours with the changes written to staging.","Have a staging table that is an append-only model, and then update the production table every ninety minutes with the changes written to staging.",Have a staging table that moves the staged data over to the production table and deletes the contents of the staging table every three hours.,Have a staging table that moves the staged data over to the production table and deletes the contents of the staging table every thirty minutes.,,,C,single,4,15,https://www.examtopics.com/discussions/google/view/79593-exam-professional-data-engineer-topic-1-question-184/,19,"La réponse correcte est C. Avoir une table de staging qui transfère les données mises en attente vers la table de production et supprime le contenu de la table de staging toutes les trois heures. Cette approche garantit qu'il n'y a qu'un seul ensemble de données principal en production, ce qui est essentiel pour maintenir l'intégrité des données. En transférant les données toutes les trois heures, on minimise l'impact sur les performances de l'ingestion et du reporting, car cela permet de traiter des lots de données suffisamment grands pour être efficaces sans surcharger le système. Les autres options, comme A et B, impliquent des mises à jour fréquentes qui peuvent entraîner des conflits de données ou des problèmes de performance, tandis que D pourrait ne pas laisser suffisamment de temps pour traiter correctement les données."
96,1,"You issue a new batch job to Dataflow. The job starts successfully, processes a few elements, and then suddenly fails and shuts down. You navigate to the
Dataflow monitoring interface where you find errors related to a particular DoFn in your pipeline. What is the most likely cause of the errors?",Job validation,Exceptions in worker code,Graph or pipeline construction,Insufficient permissions,,,B,single,4,7,https://www.examtopics.com/discussions/google/view/79599-exam-professional-data-engineer-topic-1-question-185/,20,"La réponse correcte est B. Exceptions dans le code du worker. Lorsque vous observez des erreurs spécifiques à un DoFn dans votre pipeline Dataflow, cela indique généralement qu'il y a des exceptions ou des erreurs dans le code exécuté par les workers. Ces erreurs peuvent être dues à des bugs dans le code, des erreurs de logique, ou des données inattendues qui provoquent des exceptions lors du traitement. Les autres choix, tels que la validation du travail (A), la construction du graphe ou du pipeline (C), et les permissions insuffisantes (D), se manifesteraient par des erreurs différentes, souvent avant même que le traitement des éléments ne commence."
97,1,Your new customer has requested daily reports that show their net consumption of Google Cloud compute resources and who used the resources. You need to quickly and efficiently generate these daily reports. What should you do?,"Do daily exports of Cloud Logging data to BigQuery. Create views filtering by project, log type, resource, and user.","Filter data in Cloud Logging by project, resource, and user; then export the data in CSV format.","Filter data in Cloud Logging by project, log type, resource, and user, then import the data into BigQuery.","Export Cloud Logging data to Cloud Storage in CSV format. Cleanse the data using Dataprep, filtering by project, resource, and user.",,,A,single,4,21,https://www.examtopics.com/discussions/google/view/79603-exam-professional-data-engineer-topic-1-question-186/,20,"La réponse correcte est A. Exporter quotidiennement les données de Cloud Logging vers BigQuery et créer des vues filtrant par projet, type de journal, ressource et utilisateur est efficace pour plusieurs raisons. BigQuery est conçu pour gérer de grandes quantités de données et permet des requêtes rapides et complexes, ce qui est idéal pour générer des rapports quotidiens. En créant des vues, vous pouvez facilement filtrer et organiser les données selon les besoins spécifiques du client. Les autres options, comme B, C, et D, impliquent des étapes supplémentaires ou des outils moins adaptés pour l'analyse rapide et efficace de grandes quantités de données."
98,1,"The Development and External teams have the project viewer Identity and Access Management (IAM) role in a folder named Visualization. You want the
Development Team to be able to read data from both Cloud Storage and BigQuery, but the External Team should only be able to read data from BigQuery. What should you do?
//IMG//",Remove Cloud Storage IAM permissions to the External Team on the acme-raw-data project.,Create Virtual Private Cloud (VPC) firewall rules on the acme-raw-data project that deny all ingress traffic from the External Team CIDR range.,Create a VPC Service Controls perimeter containing both projects and BigQuery as a restricted API. Add the External Team users to the perimeter's Access Level.,Create a VPC Service Controls perimeter containing both projects and Cloud Storage as a restricted API. Add the Development Team users to the perimeter's Access Level.,,,D,single,4,19,https://www.examtopics.com/discussions/google/view/79604-exam-professional-data-engineer-topic-1-question-187/,20,"La réponse correcte est D. Créer un périmètre VPC Service Controls contenant les deux projets et Cloud Storage comme API restreinte, puis ajouter les utilisateurs de l'équipe de développement au niveau d'accès du périmètre. Cela permet de restreindre l'accès à Cloud Storage uniquement à l'équipe de développement, tout en permettant aux deux équipes d'accéder à BigQuery. Les choix A et B ne sont pas appropriés car ils ne gèrent pas les permissions IAM de manière granulaire. Le choix C n'est pas correct car il restreindrait l'accès à BigQuery, ce qui n'est pas souhaité pour l'équipe externe."
99,1,"Your startup has a web application that currently serves customers out of a single region in Asia. You are targeting funding that will allow your startup to serve customers globally. Your current goal is to optimize for cost, and your post-funding goal is to optimize for global presence and performance. You must use a native
JDBC driver. What should you do?","Use Cloud Spanner to configure a single region instance initially, and then configure multi-region Cloud Spanner instances after securing funding.","Use a Cloud SQL for PostgreSQL highly available instance first, and Bigtable with US, Europe, and Asia replication after securing funding.","Use a Cloud SQL for PostgreSQL zonal instance first, and Bigtable with US, Europe, and Asia after securing funding.","Use a Cloud SQL for PostgreSQL zonal instance first, and Cloud SQL for PostgreSQL with highly available configuration after securing funding.",,,A,single,4,16,https://www.examtopics.com/discussions/google/view/79606-exam-professional-data-engineer-topic-1-question-188/,20,"La réponse correcte est A. Utiliser Cloud Spanner pour configurer une instance régionale unique au départ, puis configurer des instances multi-régions après avoir obtenu le financement. Cloud Spanner est conçu pour offrir une évolutivité globale et une haute disponibilité, ce qui est idéal pour une expansion mondiale. En commençant par une instance régionale, vous optimisez les coûts initiaux tout en vous préparant à une transition facile vers une configuration multi-régions une fois le financement obtenu. Les autres options, comme Cloud SQL, ne sont pas aussi bien adaptées pour une présence mondiale et une performance optimale à grande échelle."
100,1,You need to migrate 1 PB of data from an on-premises data center to Google Cloud. Data transfer time during the migration should take only a few hours. You want to follow Google-recommended practices to facilitate the large data transfer over a secure connection. What should you do?,"Establish a Cloud Interconnect connection between the on-premises data center and Google Cloud, and then use the Storage Transfer Service.","Use a Transfer Appliance and have engineers manually encrypt, decrypt, and verify the data.","Establish a Cloud VPN connection, start gcloud compute scp jobs in parallel, and run checksums to verify the data.","Reduce the data into 3 TB batches, transfer the data using gsutil, and run checksums to verify the data.",,,A,single,4,24,https://www.examtopics.com/discussions/google/view/79608-exam-professional-data-engineer-topic-1-question-189/,20,"La réponse correcte est A. Établir une connexion Cloud Interconnect entre le centre de données sur site et Google Cloud permet un transfert de données à haut débit, ce qui est essentiel pour migrer 1 PB de données en quelques heures. L'utilisation du Storage Transfer Service avec Cloud Interconnect garantit un transfert sécurisé et efficace, conformément aux pratiques recommandées par Google. Les autres options, comme l'utilisation d'un Transfer Appliance (B) ou d'une connexion VPN avec gcloud compute scp (C), ne sont pas optimisées pour des transferts aussi volumineux en un temps aussi court. De plus, transférer des données en lots de 3 TB avec gsutil (D) serait trop lent et inefficace pour ce volume de données."
